word|jlpt_level|source
協調|N3|bunpro
南北|N3|bunpro
南極|N3|bunpro
南米|N3|bunpro
単|N3|bunpro
単数|N3|bunpro
原子|N3|bunpro
原料|N3|bunpro
原理|N3|bunpro
原稿|N3|bunpro
厳重|N3|bunpro
友好|N3|bunpro
反省|N3|bunpro
受験|N3|bunpro
口紅|N3|bunpro
古典|N3|bunpro
只|N3|waller
可決|N3|bunpro
司会|N3|bunpro
各|N3|bunpro
各地|N3|bunpro
合同|N3|bunpro
名作|N3|bunpro
名刺|N3|bunpro
名字|N3|bunpro
名所|N3|bunpro
名物|N3|bunpro
名詞|N3|bunpro
周辺|N3|bunpro
和服|N3|bunpro
和英|N3|bunpro
商店|N3|bunpro
商業|N3|bunpro
商社|N3|bunpro
問答|N3|bunpro
器具|N3|bunpro
噴水|N3|bunpro
噴火|N3|bunpro
回数|N3|bunpro
回転|N3|bunpro
因る|N3|waller
団地|N3|bunpro
国王|N3|bunpro-o
国立|N3|bunpro
国籍|N3|bunpro
園|N3|bunpro
在学|N3|bunpro
地名|N3|bunpro
地味|N3|bunpro
地帯|N3|bunpro
地点|N3|bunpro
地盤|N3|bunpro
執筆|N3|bunpro
基地|N3|bunpro
基準|N3|bunpro
基盤|N3|bunpro
基金|N3|bunpro
堀|N3|bunpro
境界|N3|bunpro
増大|N3|bunpro
売買|N3|bunpro
夕刊|N3|bunpro
夕日|N3|bunpro
夕立|N3|bunpro
外部|N3|bunpro
夜行|N3|bunpro
夜間|N3|bunpro
大人しい|N3|bunpro-o
大凡|N3|bunpro-o
大層|N3|bunpro
大工|N3|bunpro
天皇|N3|bunpro
夫妻|N3|bunpro
姪|N3|bunpro
姿勢|N3|bunpro
娯楽|N3|bunpro
学会|N3|bunpro
学科|N3|bunpro
学術|N3|bunpro
学部|N3|bunpro
安易|N3|bunpro
官庁|N3|bunpro
定員|N3|bunpro
定規|N3|bunpro
宛名|N3|bunpro
宜しく|N3|waller
実力|N3|bunpro
実感|N3|bunpro
実用|N3|bunpro
実績|N3|bunpro
客間|N3|bunpro
宣伝|N3|bunpro
家主|N3|bunpro
容器|N3|bunpro
容積|N3|bunpro
寒帯|N3|bunpro
寺院|N3|bunpro
対策|N3|bunpro
寿命|N3|bunpro
小数|N3|bunpro
小母さん|N3|bunpro-o
尚|N3|bunpro-o
就任|N3|bunpro
尻尾|N3|bunpro-o
屑|N3|bunpro
展開|N3|bunpro
岬|N3|bunpro
巡査|N3|bunpro
工事|N3|bunpro
工夫|N3|bunpro
工芸|N3|bunpro
巻|N3|bunpro
干渉|N3|bunpro
平野|N3|bunpro
年度|N3|bunpro
幼児|N3|bunpro
幼稚|N3|bunpro
幼稚園|N3|bunpro
広々|N3|bunpro
広場|N3|bunpro
店屋|N3|bunpro
延長|N3|bunpro
