word|reading|jlpt_level|jlpt_level_raw|tags
表示|ひょうじ||NA4|n vs vt
南半球|みなみはんきゅう||NA6|n
伝言ゲーム|でんごんゲーム||NA7|n
囁き|ささやき||NA8|n
筋違い|すじちがい||NA15|n vs adj-no adj-na
とも言う|ともいう||NA7|exp
漬かる|||NE1|
澄ます|すます|N2|N2|v5s vt
こんがらがる|こんがらがる||NA16|v5r vi
誓う|ちかう|N2|N2|v5u vt
ドキッと|ドキッと||NA16|adv vs
炒り卵|いりたまご|N1|N1|n
慣れる|なれる|N4|N4|v1 vi aux-v
感慨無量|かんがいむりょう||NA17|n adj-no adj-na
極まる|きわまる||NA6|v5r vi aux-v adj-f
申す|もうす|N4|N4|v5s vt
ドラマ|ドラマ|N3|N3|n
呼ばれる|よばれる||NA17|v1 vi
と言うところ|というところ||NA1|exp
焼き肉|||NE1|
すっぽん|すっぽん|N4|N4|n
〜漬け|||NE1|
学力|がくりょく|N2|N2|n
載る|のる|N2|N2|v5r vi
引き出し|ひきだし|N5|N5|n
巻き物|まきもの||NA1|n
呪い|のろい|N1|N1|n
事情通|じじょうつう||NA1|n
吐く息|はくいき||NA1|
認識|にんしき|N1|N1|n vs vt
甘えん坊|あまえんぼう||NA1|n adj-na
未確定|みかくてい||NA1|adj-no n
連動|れんどう||NA1|n vs vi
と言うもの|というもの||NA12|exp
やり手|やりて||NA17|n
串焼き|くしやき||NA17|n
優|ゆう||NA2|n adj-na
流れる|ながれる||NA2|v1 vi
自白|じはく||NA3|n vs vt
抵当権|ていとうけん||NA3|n
ほろほろ|ほろほろ||NA4|adv adv-to n
在校生|ざいこうせい||NA4|n
予知|よち||NA4|n vs vt
冷や|ひや||NA4|n pref adj-no
社会人|しゃかいじん||NA5|n
認知|にんち||NA5|n vs vt
お冷|おひや||NA6|n
計画的|けいかくてき||NA6|adj-na
逆立つ|さかだつ||NA8|v5t vi
当たり屋|あたりや||NA18|n
気の強い|きのつよい||NA7|adj-i
死亡者|しぼうしゃ||NA7|n
末那|まな||NA18|n
博識|はくしき||NA7|n adj-na
明細|めいさい||NA7|n adj-na
無垢|むく||NA19|adj-na adj-no n
と言う|という||NA19|exp
充満|じゅうまん||NA19|n vs vi
揺れ|ゆれ||NA19|n
興が醒める|きょうがさめる||NA19|exp v1
車種|しゃしゅ||NA19|n
ヨレヨレ|ヨレヨレ||NA19|adj-na adj-no
帳簿|ちょうぼ||NA10|n
細か|こまか||NA20|adj-na
とやら|とやら||NA20|exp suf
誤爆|ごばく||NA11|n vs
くぐもった声|くぐもったこえ||NA1|exp n
野放し|のばなし||NA11|n adj-no
雑学|ざつがく||NA12|n
誓約書|せいやくしょ||NA12|n
板焼き|いたやき||NA12|n
治る|なおる|N4|N4|v5r vi
泡盛|あわもり||NA12|n
湯豆腐|ゆどうふ||NA18|n
克明|こくめい||NA18|adj-na
明るみ|あかるみ||NA13|n
浪人|ろうにん||NA18|n vs vi
死傷者|ししょうしゃ||NA14|n
台帳|だいちょう||NA14|n
罫|けい||NA15|n
して遣られる|してやられる||NA12|exp v1
造形物|ぞうけいぶつ||NA15|n
頭をかかえる|あたまをかかえる||NA15|exp v1
直る|なおる|N4|N4|v5r vi
浅学|せんがく||NA16|n adj-no
引っかかる|ひっかかる|N3|N3|v5r vi
蘇る|よみがえる|N3|N3|v5r vi
漬け|づけ||NA17|suf
凍える|こごえる|N3|N3|v1 vi
雀|すずめ||NA17|n
見聞|けんぶん||NA19|n vs vt
吟醸酒|ぎんじょうしゅ||NA19|n
余計|よけい|N3|N3|adj-na adv
重なる|かさなる|N2|N2|v5r vi
箱入り娘|はこいりむすめ||NA18|n
無類|むるい||NA20|adj-na adj-no n
盛り上がる|もりあがる|N1|N1|v5r vi
身につける|みにつける|N1|N1|exp v1
詳しい|くわしい|N3|N3|adj-i
知識|ちしき|N3|N3|n
定まる|さだまる|N1|N1|v5r vi
埋まる|うまる|N1|N1|v5r vi
契る|ちぎる|N1|N1|v5r
走行|そうこう|N2|N2|n vs vi
心当たり|こころあたり|N2|N2|n
未熟|みじゅく|N2|N2|adj-na n
感無量|かんむりょう|N1|N1|n adj-no adj-na
達者|たっしゃ|N1|N1|adj-na n
灯台|とうだい|N2|N2|n
済み|ずみ||NA2|n-suf n
きりり|きりり||NA1|adv adv-to
乱れる|みだれる|N2|N2|v1 vi
梅干|||NE1|
臭い|くさい|N3|N3|adj-i suf
逞しい|たくましい|N2|N2|adj-i
騒がしい|さわがしい|N2|N2|adj-i
斑|ぶち|N2|N2|n
瓶詰め|びんづめ|N2|N2|n vs vt adj-no
泥々|どろどろ|N1|N1|adj-no adj-na adv adv-to vs
保証|ほしょう|N2|N2|n vs vt
了承|りょうしょう|N2|N2|n vs vt
弁慶|べんけい||NA5|n
盟約|めいやく||NA18|n vs vt
潜む|ひそむ||NA8|v5m vi
孕む|はらむ||NA2|v5m vt vi
泣寝入り|なきねいり|N1|N1|n vs vi
心得|こころえ|N1|N1|n n-suf
造詣が深い|ぞうけいがふかい||NA3|exp adj-i
